source,type,number,desc
snowflake,properties,1203,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""cash_inflow_factor"": {""fin_deposit_short_term"": 100}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 20}, ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
py,properties,1204,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""cash_inflow_factor"": {""fin_deposit_short_term"": 100}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 20}, ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
snowflake,properties,1204,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""cash_inflow_factor"": {""fin_deposit_short_term"": 100}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 20}, ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
py,properties,1205,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""cash_inflow_factor"": {""fin_deposit_short_term"": 100}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 20}, ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
snowflake,properties,1205,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""cash_inflow_factor"": {""fin_deposit_short_term"": 100}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 20}, ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
py,properties,1206,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""cash_inflow_factor"": {""fin_deposit_short_term"": 100}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 20}, ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
snowflake,properties,1206,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""cash_inflow_factor"": {""fin_deposit_short_term"": 100}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 20}, ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
py,properties,1207,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""cash_inflow_factor"": {""fin_deposit_short_term"": 100}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 20}, ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
snowflake,properties,1207,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""cash_inflow_factor"": {""fin_deposit_short_term"": 100}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 20}, ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
py,properties,1208,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""cash_inflow_factor"": {""fin_deposit_short_term"": 100}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 20}, ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
snowflake,properties,1208,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""cash_inflow_factor"": {""fin_deposit_short_term"": 100}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 20}, ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
py,properties,1240,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 50}, ""section_in_balance_sheet"": ""OtherAssets""}"
snowflake,properties,1240,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 50}, ""section_in_balance_sheet"": ""OtherAssets""}"
py,properties,1241,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 50}, ""section_in_balance_sheet"": ""OtherAssets""}"
snowflake,properties,1241,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 50}, ""section_in_balance_sheet"": ""OtherAssets""}"
py,properties,1300,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""cash_inflow_factor"": {""payment"": 50}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
snowflake,properties,1300,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""cash_inflow_factor"": {""payment"": 50}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
py,properties,1301,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
snowflake,properties,1301,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
py,properties,1302,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""cash_inflow_factor"": {""payment"": 50}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 100, ""in_arrears"": 100}, ""section_in_balance_sheet"": ""CreditToThePublic""}"
